subject,predicate,object,source
http://purl.obolibrary.org/obo/HP_0030384,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030385,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030386,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030387,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030388,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0031392,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0031393,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0031396,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0031397,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0031398,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0031514,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032124,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032126,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032127,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032128,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032129,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032182,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032183,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032184,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032218,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032219,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032620,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0032632,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001228,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0040089,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000623,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0040218,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000623,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0040219,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000623,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0041044,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0041080,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0100494,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000097,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0100495,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000097,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0100542,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0100828,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0100957,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0000362,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410157,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000057,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410183,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410190,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410191,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410310,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410373,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410375,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410378,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410379,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410380,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410383,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410384,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410385,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410386,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410389,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410390,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410391,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0410392,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
