phenotype_iri,phenotype_label,as_child,ct
http://purl.obolibrary.org/obo/HP_0000348,High forehead,http://purl.obolibrary.org/obo/UBERON_0008200,
http://purl.obolibrary.org/obo/HP_0000350,Small forehead,http://purl.obolibrary.org/obo/UBERON_0008200,
http://purl.obolibrary.org/obo/HP_0000356,Abnormality of the outer ear,http://purl.obolibrary.org/obo/UBERON_0001691,
http://purl.obolibrary.org/obo/HP_0000357,Abnormal location of ears,http://purl.obolibrary.org/obo/UBERON_0001690,
http://purl.obolibrary.org/obo/HP_0000358,Posteriorly rotated ears,http://purl.obolibrary.org/obo/UBERON_0001691,
http://purl.obolibrary.org/obo/HP_0000359,Abnormality of the inner ear,http://purl.obolibrary.org/obo/UBERON_0001846,
http://purl.obolibrary.org/obo/HP_0000362,Otosclerosis,http://purl.obolibrary.org/obo/UBERON_0001839,
http://purl.obolibrary.org/obo/HP_0000363,Abnormal earlobe morphology,http://purl.obolibrary.org/obo/UBERON_0001847,
http://purl.obolibrary.org/obo/HP_0000366,Abnormality of the nose,http://purl.obolibrary.org/obo/UBERON_0000004,
http://purl.obolibrary.org/obo/HP_0000369,Low-set ears,http://purl.obolibrary.org/obo/UBERON_0001691,
http://purl.obolibrary.org/obo/HP_0000370,Abnormality of the middle ear,http://purl.obolibrary.org/obo/UBERON_0001756,
http://purl.obolibrary.org/obo/HP_0000371,Acute otitis media,http://purl.obolibrary.org/obo/UBERON_0001756,
http://purl.obolibrary.org/obo/HP_0000372,Abnormal auditory canal morphology,http://purl.obolibrary.org/obo/UBERON_0001352,
http://purl.obolibrary.org/obo/HP_0000375,Abnormal cochlea morphology,http://purl.obolibrary.org/obo/UBERON_0001844,
http://purl.obolibrary.org/obo/HP_0000377,Abnormal pinna morphology,http://purl.obolibrary.org/obo/UBERON_0001691,
http://purl.obolibrary.org/obo/HP_0000385,Small earlobe,http://purl.obolibrary.org/obo/UBERON_0001847,
http://purl.obolibrary.org/obo/HP_0000387,Absent earlobe,http://purl.obolibrary.org/obo/UBERON_0001757,
http://purl.obolibrary.org/obo/HP_0000388,Otitis media,http://purl.obolibrary.org/obo/UBERON_0001756,
http://purl.obolibrary.org/obo/HP_0000389,Chronic otitis media,http://purl.obolibrary.org/obo/UBERON_0001756,
http://purl.obolibrary.org/obo/HP_0000391,Thickened helices,http://purl.obolibrary.org/obo/UBERON_0002488,
http://purl.obolibrary.org/obo/HP_0000395,Prominent antihelix,http://purl.obolibrary.org/obo/UBERON_0016466,
http://purl.obolibrary.org/obo/HP_0000400,Macrotia,http://purl.obolibrary.org/obo/UBERON_0001691,
http://purl.obolibrary.org/obo/HP_0000402,Stenosis of the external auditory canal,http://purl.obolibrary.org/obo/UBERON_0001352,
http://purl.obolibrary.org/obo/HP_0000403,Recurrent otitis media,http://purl.obolibrary.org/obo/UBERON_0001756,
http://purl.obolibrary.org/obo/HP_0000407,Sensorineural hearing impairment,http://purl.obolibrary.org/obo/UBERON_0001021,
http://purl.obolibrary.org/obo/HP_0000411,Protruding ear,http://purl.obolibrary.org/obo/UBERON_0001691,
http://purl.obolibrary.org/obo/HP_0000413,Atresia of the external auditory canal,http://purl.obolibrary.org/obo/UBERON_0001352,
http://purl.obolibrary.org/obo/HP_0000414,Bulbous nose,http://purl.obolibrary.org/obo/UBERON_0000004,
http://purl.obolibrary.org/obo/HP_0000415,Abnormal choanae morphology,http://purl.obolibrary.org/obo/UBERON_0010425,
http://purl.obolibrary.org/obo/HP_0000417,Slender nose,http://purl.obolibrary.org/obo/UBERON_0000004,
http://purl.obolibrary.org/obo/HP_0000419,Abnormal nasal septum morphology,http://purl.obolibrary.org/obo/UBERON_0001706,
http://purl.obolibrary.org/obo/HP_0000420,Short nasal septum,http://purl.obolibrary.org/obo/UBERON_0001706,
http://purl.obolibrary.org/obo/HP_0000421,Epistaxis,http://purl.obolibrary.org/obo/UBERON_0000004,
