id	subject	predicate	object	category	agent_type	gene_expr	knowledge_level	knowledge_source	primary_knowledge_source	source
urn:uuid:38972c36-b67a-4319-8e29-6ab4ce057acf	CL:0000236	biolink:has_phenotype	HP:0010976	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:226b5e55-366d-47de-a538-690d7f7a4b05	CL:0000236	biolink:has_phenotype	HP:0010975	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:7bb20b19-9732-4dfc-8796-5fab38b14e54	CL:0000236	biolink:has_phenotype	HP:0030376	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:b88464d9-5f24-4ed1-ade9-184e6b92c0cc	CL:0000236	biolink:has_phenotype	HP:0030386	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:64b0aa96-4220-400a-a47c-651072355571	CL:0000236	biolink:has_phenotype	HP:0030370	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:cf476d78-f18a-49c1-a28a-9070d166c59a	CL:0000236	biolink:has_phenotype	HP:0030373	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:c2d533d3-47bf-4c45-b768-e78b7f2df9ab	CL:0000236	biolink:has_phenotype	HP:0030383	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:64bad4e2-5ad7-40b5-8f5c-a95e24882a05	CL:0000236	biolink:has_phenotype	HP:0030379	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:361a81f9-56e7-4552-8db9-c543c153a9e4	CL:0000236	biolink:has_phenotype	HP:0030372	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:af837b32-0c1f-4524-8cf8-7dce4177d195	CL:0000236	biolink:has_phenotype	HP:0030378	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:36eeb978-20b4-429f-844f-05ecd598250c	CL:0000236	biolink:has_phenotype	HP:0030374	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:380c018d-847d-479a-81db-ffefa07c7b22	CL:0000236	biolink:has_phenotype	HP:0030388	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:fb5fc630-d274-4be0-abdb-f3fc45f1d342	CL:0000236	biolink:has_phenotype	HP:0030380	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:57750cfd-4a45-4277-9a09-f3b041eb7393	CL:0000236	biolink:has_phenotype	HP:0030384	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:29900269-9731-4736-8526-386886c1046f	CL:0000236	biolink:has_phenotype	HP:0030371	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
